,0
"(2005, ('I4210109170', 'I1294671590'))",13.0
"(2005, ('I107639228', 'I111088046'))",12.0
"(2005, ('I1294671590', 'I204730241'))",9.0
"(2005, ('I90267481', 'I189090001'))",9.0
"(2005, ('I1294671590', 'I107639228'))",8.0
"(2006, ('I1294671590', 'I204730241'))",16.0
"(2006, ('I4210094115', 'I1294671590'))",15.0
"(2006, ('I4210094115', 'I204730241'))",11.0
"(2006, ('I1294671590', 'I102197404'))",8.0
"(2006, ('I27837315', 'I111979921'))",7.0
"(2007, ('I17974374', 'I177909021'))",14.0
"(2007, ('I1294671590', 'I204730241'))",12.0
"(2007, ('I74973139', 'I205783295'))",9.0
"(2007, ('I27837315', 'I205783295'))",8.0
"(2007, ('I170486558', 'I11932220'))",8.0
"(2008, ('I60858718', 'I4210120482'))",14.0
"(2008, ('I74973139', 'I205783295'))",13.0
"(2008, ('I74973139', 'I157725225'))",12.0
"(2008, ('I74973139', 'I97018004'))",11.0
"(2008, ('I74973139', 'I27837315'))",11.0
"(2009, ('I154338468', 'I126520041'))",17.0
"(2009, ('I27837315', 'I74973139'))",16.0
"(2009, ('I29607241', 'I1326498283'))",11.0
"(2009, ('I1308548392', 'I27837315'))",9.0
"(2009, ('I157725225', 'I74973139'))",8.0
"(2010, ('I19820366', 'I4210090176'))",28.0
"(2010, ('I150229711', 'I154338468'))",14.0
"(2010, ('I1292875679', 'I129604602'))",11.0
"(2010, ('I913958620', 'I121797337'))",10.0
"(2010, ('I24943067', 'I9617848'))",9.0
"(2011, ('I97018004', 'I74973139'))",21.0
"(2011, ('I154338468', 'I126520041'))",20.0
"(2011, ('I150229711', 'I154338468'))",17.0
"(2011, ('I134940468', 'I4210119109'))",13.0
"(2011, ('I27837315', 'I134940468'))",11.0
"(2012, ('I95457486', 'I74973139'))",17.0
"(2012, ('I17974374', 'I177909021'))",17.0
"(2012, ('I136199984', 'I2801851002'))",16.0
"(2012, ('I150229711', 'I154338468'))",15.0
"(2012, ('I111088046', 'I13955877'))",13.0
"(2013, ('I142108993', 'I158842170'))",20.0
"(2013, ('I12912129', 'I9617848'))",14.0
"(2013, ('I97018004', 'I74973139'))",13.0
"(2013, ('I154338468', 'I150229711'))",12.0
"(2013, ('I27837315', 'I205783295'))",10.0
"(2014, ('I13955877', 'I111088046'))",21.0
"(2014, ('I97018004', 'I74973139'))",20.0
"(2014, ('I183067930', 'I13955877'))",14.0
"(2014, ('I97018004', 'I205783295'))",10.0
"(2014, ('I1294671590', 'I1308548392'))",9.0
"(2015, ('I13955877', 'I111088046'))",23.0
"(2015, ('I3125743391', 'I211433327'))",14.0
"(2015, ('I111088046', 'I12912129'))",13.0
"(2015, ('I55952717', 'I166337079'))",11.0
"(2015, ('I74973139', 'I205783295'))",11.0
"(2016, ('I27837315', 'I74973139'))",18.0
"(2016, ('I150229711', 'I148128674'))",17.0
"(2016, ('I111088046', 'I13955877'))",17.0
"(2016, ('I211433327', 'I3125743391'))",14.0
"(2016, ('I97018004', 'I205783295'))",11.0
"(2017, ('I211433327', 'I3125743391'))",21.0
"(2017, ('I111088046', 'I150229711'))",18.0
"(2017, ('I19820366', 'I4210090176'))",18.0
"(2017, ('I27837315', 'I74973139'))",13.0
"(2017, ('I39804081', 'I1294671590'))",12.0
"(2018, ('I142108993', 'I150229711'))",89.0
"(2018, ('I150229711', 'I154338468'))",19.0
"(2018, ('I163151501', 'I150229711'))",15.0
"(2018, ('I211433327', 'I3125743391'))",12.0
"(2018, ('I150229711', 'I148128674'))",11.0
"(2019, ('I150229711', 'I63966007'))",29.0
"(2019, ('I56404289', 'I91357014'))",21.0
"(2019, ('I182534213', 'I4210166615'))",16.0
"(2019, ('I150229711', 'I148128674'))",12.0
"(2019, ('I150229711', 'I17145004'))",12.0
"(2020, ('I56404289', 'I91357014'))",27.0
"(2020, ('I99065089', 'I150229711'))",24.0
"(2020, ('I150229711', 'I149594827'))",13.0
"(2020, ('I111088046', 'I13955877'))",12.0
"(2020, ('I176453806', 'I60200437'))",11.0
"(2021, ('I39343248', 'I60200437'))",23.0
"(2021, ('I162868743', 'I149594827'))",12.0
"(2021, ('I142108993', 'I17145004'))",12.0
"(2021, ('I24768866', 'I4210148896'))",12.0
"(2021, ('I182534213', 'I4210166615'))",11.0
"(2022, ('I56404289', 'I91357014'))",27.0
"(2022, ('I142108993', 'I17145004'))",22.0
"(2022, ('I68891433', 'I863896202'))",12.0
"(2022, ('I188329596', 'I31746571'))",11.0
"(2022, ('I100532134', 'I1294671590'))",9.0
"(2023, ('I19820366', 'I4210160793'))",18.0
"(2023, ('I19820366', 'I4210165038'))",15.0
"(2023, ('I4210165038', 'I4210160793'))",12.0
"(2023, ('I143002897', 'I1294671590'))",12.0
"(2023, ('I142108993', 'I150229711'))",8.0
"(2024, ('I1292859797', 'I5023651'))",12.0
"(2024, ('I150229711', 'I148128674'))",11.0
"(2024, ('I170215575', 'I17145004'))",9.0
"(2024, ('I125680101', 'I166337079'))",9.0
"(2024, ('I193223587', 'I2277624104'))",8.0
"(2025, ('I18489884', 'I19820366'))",12.0
"(2025, ('I143002897', 'I21491767'))",11.0
"(2025, ('I170215575', 'I25254941'))",10.0
"(2025, ('I143002897', 'I1294671590'))",9.0
"(2025, ('I4210153612', 'I87780372'))",7.0
