,0,1
I143302722,38,-28
I200284239,-59,-74
I4577782,96,-21
I137902535,140,-228
I52158045,802,-19
I189158943,-59,21
I219193219,-25,74
I131868736,49,-83
I51158804,-864,-182
I99464096,132,-108
I141766778,221,1
I4210094622,-79,-21
I4210131959,-120,5
I4210159946,-1053,-11
I255234318,-67,2
I84218800,3,30
I181391015,334,-165
I119439378,-51,-30
I189590672,-22,30
I167751958,12,-10
I146165071,-579,-6
I46247651,98,-31
I110079840,176,-10
I111599522,1409,-129
I130828816,445,101
I177156846,-70,-4
I151201029,234,30
I141945490,20,34
I75027704,60,-131
I43406934,134,-30
I24603500,795,-193
I27577105,443,103
I166459259,-170,-27
I32597200,284,-30
I24354313,50,-35
I154425047,398,26
I4210108471,91,-94
I84524832,-36,-11
I165733156,-9,95
I185492890,-35,10
I79817857,144,-39
I913481162,951,-338
I4210112383,46,-141
I19880235,-19,-31
I79238269,120,-13
I53241121,33,-36
I76130692,68,-30
I35440088,253,-47
I135310074,11,-153
I198105771,9,-7
I182534213,-125,0
I1294671590,446,-74
I4210138594,-81,-1
I879563668,-111,-5
I4210099947,-51,-95
I19820366,54,-16
I121748325,-111,-11
I123387679,-23,8
I62916508,-50,-102
